query,clicks,impressions,ctr,position
green leaf kahnawake,146,738,0.1978319783197832,2.124661246612466
kahnawake weed dispensary,19,271,0.07011070110701106,8.752767527675276
weed shop kahnawake,18,337,0.05341246290801187,9.477744807121661
green leaf society,11,130,0.08461538461538462,14.569230769230769
healing health compassion,10,3507,0.00285143997718848,7.348731109210151
ahuevo vancouver,9,321,0.028037383177570093,9.22741433021807
dispensary near me,8,135,0.05925925925925926,13.037037037037036
green leaf dispensary,8,137,0.058394160583941604,26.598540145985403
greenleaf dispensary,8,123,0.06504065040650407,38.1869918699187
mountain greenery hamilton,8,718,0.011142061281337047,6.727019498607242
kahnawake dispensary,7,306,0.02287581699346405,10.931372549019608
weed dispensary kahnawake,7,198,0.03535353535353535,9.48989898989899
kahnawake dispensary weed,6,62,0.0967741935483871,9.32258064516129
weed kahnawake,5,160,0.03125,16
cannabis kahnawake,4,63,0.06349206349206349,21.761904761904763
dispensary halifax,4,83,0.04819277108433735,23.771084337349397
greenleaf,4,125,0.032,1.976
greenleaf society,4,23,0.17391304347826086,2.0434782608695654
weed store kahnawake,4,147,0.027210884353741496,9.564625850340136
cannabis store kahnawake,3,20,0.15,10.15
cannafly,3,66,0.045454545454545456,9.045454545454545
green leaf,3,790,0.0037974683544303796,15.59367088607595
kahnawake cannabis dispensary,3,19,0.15789473684210525,10.210526315789474
kahnawake weed shop,3,74,0.04054054054054054,9.27027027027027
rasta church near me,3,8,0.375,15
tribal releaf,3,187,0.016042780748663103,7.128342245989304
420 delivery,2,22,0.09090909090909091,62.40909090909091
buy shrooms online halifax by señor spore,2,2,1,1
cannabis clones canada,2,14,0.14285714285714285,91
kahnawake cannabis store,2,36,0.05555555555555555,9.5
kahnawake weed,2,92,0.021739130434782608,24.52173913043478
1tonamara,1,408,0.0024509803921568627,10.480392156862745
24 hour dispensaries near me,1,1,1,1
24hr dispensary near me,1,1,1,6
ahuevo,1,40,0.025,20.9
budsandbeyond,1,311,0.003215434083601286,11.064308681672026
canabis kanawake,1,9,0.1111111111111111,15.333333333333334
cannamed canada,1,19,0.05263157894736842,8.789473684210527
coastal cannapy,1,112,0.008928571428571428,17.633928571428573
cowichan clones,1,18,0.05555555555555555,13.11111111111111
dispensaries halifax,1,29,0.034482758620689655,35.93103448275862
dispensaries in halifax,1,45,0.022222222222222223,49.75555555555555
dispensaries near me,1,15,0.06666666666666667,14.666666666666666
dispensary,1,53,0.018867924528301886,14.18867924528302
dispensary open near me,1,5,0.2,5.2
dispensary open now,1,17,0.058823529411764705,7.705882352941177
dispensarys near me,1,1,1,1
farmacy cannabis,1,12,0.08333333333333333,8.416666666666668
fredericton dispensary,1,17,0.058823529411764705,43.470588235294116
green essence,1,87,0.011494252873563218,11.344827586206897
green leaf dispensary menu,1,7,0.14285714285714285,59.714285714285715
green leaf edibles,1,2,0.5,4
green leaf weed dispensary,1,6,0.16666666666666666,35.5
green leaves dispensary,1,1,1,2
green society,1,1242,0.0008051529790660225,12.194847020933977
halifax dispensaries,1,22,0.045454545454545456,50.81818181818182
halifax dispensary,1,45,0.022222222222222223,34.955555555555556
hemp heaven,1,1,1,1
hemp store,1,1,1,12
herbalist halifax,1,2,0.5,2
kahnawake canabis,1,6,0.16666666666666666,17.166666666666668
kahnawake edibles,1,6,0.16666666666666666,4.666666666666666
kahnawake weed store,1,25,0.04,10.04
l'eagle dreams,1,100,0.01,5.22
maritime smoke - 1 hour delivery,1,20,0.05,1
mohawk dispensary,1,3,0.3333333333333333,9.333333333333334
mullein tea where to buy,1,1,1,1
natural green dispensary,1,3,0.3333333333333333,1.6666666666666665
peacemaker 420,1,354,0.002824858757062147,7.929378531073446
potshops,1,91,0.01098901098901099,4.846153846153847
rick simpson oil near me,1,1,1,1
rocket chronic,1,1758,0.0005688282138794084,6.157565415244596
thc vape kahnawake,1,3,0.3333333333333333,26.333333333333332
weed kanawake,1,26,0.038461538461538464,8.846153846153847
#maryjanes,0,2,0,8
+marijuana +doctor,0,6,0,84.66666666666667
104 harbord st,0,18,0,24.61111111111111
1132 granville street,0,10,0,9.1
1890 avenue road,0,1,0,90
1tonamara reviews,0,2,0,26
1tonamara toronto,0,102,0,10.147058823529411
1tonarama,0,8,0,10
202 spadina,0,31,0,56.12903225806452
202 spadina ave,0,65,0,44.15384615384615
202 spadina avenue,0,1,0,53
24 hour dispensary,0,4,0,7.5
24 hour pharmacy near me,0,1,0,1
24 hr dispensary,0,1,0,4
2411 agricola street,0,1,0,97
260 wyse road,0,1,0,92
3 kings dispensary,0,3,0,4.333333333333334
3449 dundas st w,0,1,0,51
3505 dundas street west,0,1,0,52
409 martin st penticton,0,27,0,8.592592592592592
409 martin street penticton,0,22,0,9.590909090909092
420 cannabis delta,0,2,0,14.5
420 cannabis langley,0,7,0,45.714285714285715
420 cannabis weed delivery surrey,0,27,0,20.037037037037038
420 delivered,0,2,0,88.5
420 deliveries,0,67,0,32.67164179104478
420 weed delivery,0,2,0,31.5
420-140,0,1,0,9
