query,page,clicks,impressions,ctr,position
green leaf kahnawake,https://potshops.ca/listing/green-leaf/,146,738,0.1978319783197832,2.124661246612466
kahnawake weed dispensary,https://potshops.ca/listing/green-leaf/,19,271,0.07011070110701106,8.752767527675276
weed shop kahnawake,https://potshops.ca/listing/green-leaf/,18,337,0.05341246290801187,9.477744807121661
green leaf society,https://potshops.ca/listing/the-green-leaf-society/,11,130,0.08461538461538462,14.569230769230769
healing health compassion,https://potshops.ca/listing/healing-health-compassion/,10,3507,0.00285143997718848,7.348731109210151
ahuevo vancouver,https://potshops.ca/listing/ahuevo-premium-marijuana/,8,254,0.031496062992125984,7.559055118110236
dispensary near me,https://potshops.ca/listing/the-green-leaf-society/,8,126,0.06349206349206349,13.484126984126984
green leaf dispensary,https://potshops.ca/listing/the-green-leaf-society/,8,93,0.08602150537634409,30.387096774193548
greenleaf dispensary,https://potshops.ca/listing/the-green-leaf-society/,8,96,0.08333333333333333,45.125
mountain greenery hamilton,https://potshops.ca/listing/mountain-greenery/,8,718,0.011142061281337047,6.727019498607242
kahnawake dispensary,https://potshops.ca/listing/green-leaf/,7,306,0.02287581699346405,10.931372549019608
weed dispensary kahnawake,https://potshops.ca/listing/green-leaf/,7,198,0.03535353535353535,9.48989898989899
kahnawake dispensary weed,https://potshops.ca/listing/green-leaf/,6,62,0.0967741935483871,9.32258064516129
weed kahnawake,https://potshops.ca/listing/green-leaf/,5,160,0.03125,16
cannabis kahnawake,https://potshops.ca/listing/green-leaf/,4,63,0.06349206349206349,21.761904761904763
dispensary halifax,https://potshops.ca/listing/the-green-leaf-society/,4,83,0.04819277108433735,23.771084337349397
greenleaf,https://potshops.ca/listing/the-green-leaf-society/,4,125,0.032,1.976
greenleaf society,https://potshops.ca/listing/the-green-leaf-society/,4,23,0.17391304347826086,2.0434782608695654
weed store kahnawake,https://potshops.ca/listing/green-leaf/,4,147,0.027210884353741496,9.564625850340136
cannabis store kahnawake,https://potshops.ca/listing/green-leaf/,3,20,0.15,10.15
cannafly,https://potshops.ca/listing/cannafly/,3,66,0.045454545454545456,9.045454545454545
green leaf,https://potshops.ca/listing/the-green-leaf-society/,3,642,0.004672897196261682,17.054517133956388
kahnawake cannabis dispensary,https://potshops.ca/listing/green-leaf/,3,19,0.15789473684210525,10.210526315789474
kahnawake weed shop,https://potshops.ca/listing/green-leaf/,3,74,0.04054054054054054,9.27027027027027
rasta church near me,https://potshops.ca/listing/mount-zion-rastafarian-church/,3,8,0.375,15
tribal releaf,https://potshops.ca/listing/tribal-releaf/,3,187,0.016042780748663103,7.128342245989304
420 delivery,https://potshops.ca/listing/420-delivery/,2,22,0.09090909090909091,62.40909090909091
buy shrooms online halifax by señor spore,https://potshops.ca/listing/the-green-leaf-society/,2,2,1,1
cannabis clones canada,https://potshops.ca/listing/clone-corner/,2,14,0.14285714285714285,91
kahnawake cannabis store,https://potshops.ca/listing/green-leaf/,2,36,0.05555555555555555,9.5
kahnawake weed,https://potshops.ca/listing/green-leaf/,2,92,0.021739130434782608,24.52173913043478
1tonamara,https://potshops.ca/listing/1tonamara/,1,408,0.0024509803921568627,10.480392156862745
24 hour dispensaries near me,https://potshops.ca/listing/the-green-leaf-society/,1,1,1,1
24hr dispensary near me,https://potshops.ca/listing/the-green-leaf-society/,1,1,1,6
ahuevo,https://potshops.ca/listing/ahuevo-premium-marijuana/,1,40,0.025,20.9
ahuevo vancouver,https://potshops.ca/category/in-town-delivery/,1,69,0.014492753623188406,16.115942028985508
budsandbeyond,https://potshops.ca/listing/best-online-buds-store-budsandbeyond/,1,311,0.003215434083601286,11.064308681672026
canabis kanawake,https://potshops.ca/listing/green-leaf/,1,9,0.1111111111111111,15.333333333333334
cannamed canada,https://potshops.ca/listing/bc-cannamed-kensington/,1,19,0.05263157894736842,8.789473684210527
coastal cannapy,https://potshops.ca/listing/coastal-cannapy/,1,112,0.008928571428571428,17.633928571428573
